bench_id,lat,lon,score,reviews,positive_count,negative_count
1650,40.78098357,-73.95860383,0.0,0,0,0
1655,40.743692,-73.976834,0.0,0,0,0
1660,40.78024707,-73.97691948,0.0,0,0,0
1661,40.795754,-73.94146,0.0,0,0,0
1666,40.83795036,-73.94180922,0.0,0,0,0
1667,40.713842,-73.97923,0.0,0,0,0
1673,40.80505883,-73.9622005,0.9523809523809523,21,3,1
1674,40.801315,-73.967539,0.0,0,0,0
1682,40.84606,-73.938144,0.0,0,0,0
1685,40.80748598,-73.94918847,0.0,0,0,0
1689,40.743607,-73.979497,4.0,10,6,2
1690,40.778743,-73.960232,0.0,0,0,0
1692,40.74051,-73.983075,6.0,5,3,0
1700,40.78565,-73.948831,0.0,0,0,0
1701,40.72419784,-74.00615734,0.0,0,0,0
1722,40.80403852,-73.93635731,2.0,5,2,1
1723,40.85309028,-73.93544605,0.0,0,0,0
1724,40.78318797,-73.97471545,2.0,5,2,1
1740,40.86040812,-73.9276943,0.0,0,0,0
1746,40.86633428,-73.92529751,0.0,5,2,2
1750,40.75435033,-73.99874385,0.0,0,0,0
1762,40.784024,-73.94402,0.0,1,0,0
1764,40.77765,-73.979101,0.0,0,0,0
1766,40.750882,-73.971271,0.0,0,0,0
1768,40.79328,-73.973033,0.0,0,0,0
1770,40.76113129,-73.95749356,0.0,0,0,0
1774,40.724591,-73.984725,0.0,0,0,0
1775,40.79633636,-73.94763434,0.0,0,0,0
1776,40.71589115,-73.99607397,0.0,0,0,0
1779,40.78477897,-73.97726741,2.0,5,1,0
1782,40.77895527,-73.94800911,0.0,0,0,0
1785,40.71883963,-73.97569939,0.0,0,0,0
1786,40.81394998,-73.95930868,5.0,6,4,1
1787,40.848593,-73.937274,0.0,0,0,0
1793,40.733952,-73.989024,6.0,5,3,0
1799,40.71578519,-73.98693818,4.0,5,3,1
1801,40.7229751,-74.00671284,0.0,0,0,0
1802,40.77968262,-73.95581026,0.0,0,0,0
1813,40.72066968,-73.98699588,0.0,0,0,0
1817,40.71939177,-73.99895054,0.0,0,0,0
1824,40.76592056,-73.95455562,0.0,6,0,0
1825,40.78675276,-73.97582689,0.0,0,0,0
1836,40.8330539,-73.94203469,0.0,0,0,0
1843,40.7141481,-73.98825537,2.5,8,3,1
1846,40.756998,-73.963634,0.0,0,0,0
1847,40.83402949,-73.94131377,0.0,6,2,2
1850,40.743246,-73.993377,0.0,10,0,0
1863,40.74242,-73.991942,0.0,5,0,0
1870,40.759044,-73.996286,0.0,0,0,0
1872,40.76741706,-73.96470932,3.0,10,3,0
1875,40.79373048,-73.96720399,0.0,0,0,0
1876,40.848402,-73.931342,0.0,0,0,0
1882,40.764698,-73.961518,-2.0,5,3,4
1900,40.754525,-73.983614,0.6896551724137931,29,3,1
1901,40.79564202,-73.93430408,0.0,0,0,0
1905,40.78252194,-73.94718045,0.0,0,0,0
1912,40.77896,-73.988409,0.0,0,0,0
1913,40.762288,-73.997337,0.0,0,0,0
1917,40.729598,-73.990157,0.0,5,0,0
1919,40.743287,-73.993463,0.0,10,0,0
1922,40.723086,-73.984089,0.0,0,0,0
1923,40.77503351,-73.98709436,0.0,0,0,0
1928,40.846683,-73.938442,0.0,0,0,0
1929,40.76670819,-73.95975417,0.0,0,0,0
1934,40.804675,-73.955044,0.0,0,0,0
1937,40.815012,-73.943257,0.0,10,3,3
1938,40.801446,-73.959991,0.0,0,0,0
1943,40.81963146,-73.93700357,0.0,0,0,0
1953,40.7134476,-73.99903657,0.0,0,0,0
1961,40.78483982,-73.94974283,0.0,0,0,0
1965,40.767987,-73.989191,0.0,0,0,0
1966,40.72384957,-73.99253725,0.0,0,0,0
1973,40.720977,-73.981644,0.0,0,0,0
1976,40.816518,-73.959204,0.0,0,0,0
1978,40.84947406,-73.93662726,0.0,0,0,0
1981,40.840501,-73.939478,0.0,1,0,0
1986,40.731593,-73.974269,0.0,0,0,0
1991,40.74042,-73.982772,6.0,5,3,0
1992,40.749571,-73.983888,1.6666666666666665,6,1,0
1994,40.72796319,-73.99293137,0.0,0,0,0
1995,40.806072,-73.946539,0.0,0,0,0
2001,40.77088248,-73.95670766,0.0,0,0,0
2002,40.75960731,-73.96490725,0.0,0,0,0
2006,40.755552,-74.001637,0.0,0,0,0
2012,40.740604,-73.983494,6.0,5,3,0
2014,40.7438568,-73.99596277,0.0,10,0,0
2015,40.72983493,-73.98384134,0.0,0,0,0
2019,40.74637901,-74.00156772,0.0,0,0,0
2020,40.84248729,-73.9385806,0.0,0,0,0
2021,40.81569861,-73.93951318,6.0,10,8,2
2023,40.826146,-73.950027,-2.0,5,2,3
2032,40.781557,-73.949222,0.0,0,0,0
2043,40.73470589,-73.97903415,0.0,0,0,0
2045,40.818257,-73.960498,0.0,0,0,0
2052,40.846153,-73.93809,0.0,0,0,0
2056,40.77565408,-73.94746874,0.0,0,0,0
2060,40.79387332,-73.94518257,-4.0,5,0,2
2063,40.77741806,-73.97906922,0.0,0,0,0
2077,40.70579553,-74.006698,0.0,0,0,0
2078,40.85067507,-73.93827895,0.0,0,0,0
2080,40.748796,-74.006557,0.0,0,0,0
2081,40.740449,-73.982923,6.0,5,3,0
2095,40.815332,-73.954692,0.0,0,0,0
2106,40.79692302,-73.96841607,2.0,5,3,2
2107,40.74650132,-73.977398,0.0,1,0,0
2111,40.793125,-73.967899,0.0,0,0,0
2116,40.86604978,-73.92777544,0.0,5,2,2
2117,40.78954884,-73.97919235,0.0,0,0,0
2123,40.81270723,-73.95661099,6.0,5,4,1
2130,40.74497488,-73.97611499,0.0,2,0,0
2148,40.70857202,-74.01232139,0.0,1,0,0
2153,40.83373289,-73.9412566,0.0,6,2,2
2154,40.8303658,-73.9473464,0.0,0,0,0
2156,40.84707056,-73.93688663,0.0,0,0,0
2160,40.767622,-73.96365426,3.0,10,3,0
2181,40.752101,-73.985952,0.0,2,0,0
2187,40.849131,-73.938906,0.0,0,0,0
2190,40.79967143,-73.96414755,0.0,0,0,0
2194,40.7412617,-73.99414531,1.0,10,2,1
2207,40.70862397,-74.01336883,0.0,0,0,0
2217,40.83113158,-73.94168858,0.0,0,0,0
2220,40.740363,-73.982691,6.0,5,3,0
2229,40.7961948,-73.93562488,0.0,0,0,0
2238,40.797227,-73.938034,0.0,0,0,0
2247,40.80025454,-73.94053498,0.0,3,0,0
2259,40.77772397,-73.94891314,0.0,0,0,0
2261,40.79981614,-73.94060325,0.0,3,0,0
2262,40.79384091,-73.94921049,0.0,1,0,0
2263,40.71388157,-74.01076381,1.1111111111111112,9,2,1
2267,40.836701,-73.942714,0.0,0,0,0
2272,40.714717,-73.982276,0.0,0,0,0
2273,40.795281,-73.965902,2.0,5,3,2
2277,40.712873,-74.007491,0.0,5,0,0
2280,40.81783043,-73.93999844,0.0,0,0,0
2282,40.8054038,-73.96222954,0.9523809523809523,21,3,1
2291,40.78772448,-73.9447139,0.0,0,0,0
2304,40.85515724,-73.93781336,0.0,0,0,0
2305,40.70736288,-74.01392066,0.0,0,0,0
2308,40.79839918,-73.95215659,0.0,0,0,0
2311,40.723327,-73.979525,0.0,0,0,0
2315,40.779187,-73.954557,0.0,0,0,0
2320,40.810327,-73.952755,0.0,0,0,0
2322,40.730491,-73.980793,0.0,0,0,0
2330,40.833248,-73.941895,0.0,0,0,0
2332,40.73566329,-73.98745817,6.0,5,3,0
2333,40.85105522,-73.93857827,0.0,0,0,0
2340,40.828136,-73.945634,0.0,0,0,0
2345,40.740549,-73.983111,6.0,5,3,0
2348,40.77177306,-73.9830486,0.0,6,1,1
2360,40.81510419,-73.94543364,0.0,0,0,0
2363,40.74052,-73.983101,6.0,5,3,0
2365,40.85545963,-73.93668229,0.0,0,0,0
2367,40.843817,-73.939205,0.0,0,0,0
2370,40.817786,-73.960676,0.0,0,0,0
2376,40.816488,-73.95385,0.0,0,0,0
2394,40.78063118,-73.94993069,0.0,0,0,0
2395,40.841932,-73.942465,0.0,6,0,0
2401,40.821589,-73.93871,0.0,0,0,0
2407,40.78696542,-73.94216682,0.0,0,0,0
2416,40.72672785,-74.00548779,0.0,0,0,0
2422,40.73173109,-73.98209625,0.0,0,0,0
2423,40.7349002,-73.98986796,6.0,5,3,0
2428,40.71466164,-74.01088016,1.1111111111111112,9,2,1
2440,40.78018761,-73.97696186,0.0,0,0,0
2442,40.79168867,-73.97087044,0.0,0,0,0
2449,40.74040037,-73.97583533,0.0,0,0,0
2454,40.747484,-74.003906,0.0,0,0,0
2456,40.818597,-73.952599,0.0,0,0,0
2461,40.79531097,-73.93350235,0.0,0,0,0
2468,40.759569,-73.97421,6.0,5,3,0
2476,40.734191,-73.990998,0.0,0,0,0
2478,40.73852291,-73.98268346,4.0,5,3,1
2488,40.76761922,-73.9590882,0.0,2,0,0
2489,40.740539,-73.983087,6.0,5,3,0
2496,40.74043669,-73.98601534,0.0,5,0,0
2501,40.764444,-73.9614,-2.0,5,3,4
2504,40.80254953,-73.93866722,0.0,0,0,0
2506,40.80090803,-73.93923774,0.0,3,0,0
2512,40.816346,-73.959047,0.0,0,0,0
2522,40.85076563,-73.93419218,0.0,0,0,0
2525,40.74048706,-73.99023075,0.0,0,0,0
2529,40.78460724,-73.97755679,2.0,5,1,0
2530,40.804584,-73.937761,0.0,0,0,0
2533,40.729385,-73.987556,1.6666666666666665,6,1,0
2535,40.74260619,-73.99659172,0.0,5,0,0
2537,40.72786523,-73.97857428,4.0,5,3,1
2540,40.76428327,-73.95730756,0.0,0,0,0
2543,40.78285969,-73.94824532,0.0,0,0,0
2545,40.747305,-73.981637,0.0,0,0,0
2553,40.734526,-73.979947,0.0,0,0,0
2554,40.78643944,-73.97571766,0.0,0,0,0
2560,40.78112637,-73.94922291,0.0,0,0,0
2561,40.725721,-73.977787,0.0,0,0,0
2565,40.706626,-74.012735,0.0,0,0,0
2569,40.71428862,-73.99451427,4.0,5,4,2
2571,40.846094,-73.938206,0.0,0,0,0
2572,40.790421,-73.945353,0.0,0,0,0
2574,40.75313252,-73.99590428,0.0,0,0,0
2586,40.778577,-73.981293,0.0,0,0,0
2589,40.77924513,-73.95520532,0.0,0,0,0
2593,40.795033,-73.972949,0.0,0,0,0
2595,40.848543,-73.937708,0.0,0,0,0
2598,40.85502541,-73.92941096,0.0,0,0,0
2599,40.82755415,-73.94986499,0.0,0,0,0
2609,40.802318,-73.950116,0.0,0,0,0
2610,40.82986917,-73.94437056,0.0,0,0,0
2613,40.800386,-73.960101,0.0,0,0,0
2614,40.78509298,-73.974695,0.0,0,0,0
2621,40.846171,-73.938168,0.0,0,0,0
2623,40.81837731,-73.94103014,0.0,0,0,0
2631,40.720667,-73.997649,0.0,0,0,0
2640,40.715635,-74.01133,0.0,5,1,1
